epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.3461,2.24249,4.91568,3.62867,0,0,0,0,3.07969,6.02491,4.25032,0.000654762,0.000654762,0.000654762
2,38.3362,1.47303,2.62246,2.6345,0.12084,0.44186,0.11407,0.0653,1.08849,6.58798,2.51176,0.00132092,0.00132092,0.00132092
3,57.1926,1.15787,1.933,2.16628,0.88445,0.48028,0.46097,0.33303,0.84842,3.69517,2.06015,0.00198506,0.00198506,0.00198506
4,75.9601,1.05068,1.55111,1.963,0.94213,0.44442,0.4702,0.34264,1.01901,2.72903,2.05706,0.00199314,0.00199314,0.00199314
5,94.6619,0.92795,1.18286,1.78018,0.96248,0.46694,0.47892,0.37588,0.60177,1.02648,1.38122,0.00198781,0.00198781,0.00198781
6,113.417,0.733,0.9445,1.5166,0.97072,0.47422,0.48235,0.36624,0.80934,1.10171,1.69419,0.00198098,0.00198098,0.00198098
7,132.591,0.69051,0.82037,1.44056,0.93288,0.47624,0.48003,0.40039,0.46593,0.65795,1.33736,0.00197265,0.00197265,0.00197265
8,151.681,0.62561,0.73489,1.33417,0.95998,0.47826,0.48432,0.41811,0.50906,0.52,1.36015,0.00196283,0.00196283,0.00196283
9,170.713,0.60347,0.62923,1.29028,0.96131,0.47927,0.48356,0.39399,0.55985,0.65951,1.48369,0.00195155,0.00195155,0.00195155
10,189.646,0.58036,0.62844,1.26814,0.98346,0.48095,0.48483,0.41756,0.59077,0.79165,1.42393,0.00193881,0.00193881,0.00193881
11,208.643,0.52939,0.57947,1.2108,0.97339,0.48078,0.48473,0.40825,0.56709,0.5285,1.40459,0.00192464,0.00192464,0.00192464
12,227.57,0.50494,0.50959,1.19856,0.99092,0.48028,0.48492,0.42144,0.50115,0.39866,1.3915,0.00190906,0.00190906,0.00190906
13,246.602,0.48519,0.49193,1.17321,0.96358,0.4815,0.4842,0.40529,0.52063,0.47402,1.31968,0.0018921,0.0018921,0.0018921
14,265.585,0.43591,0.45584,1.10539,0.97989,0.48433,0.48488,0.37431,0.54431,0.49998,1.51138,0.00187377,0.00187377,0.00187377
15,284.522,0.43718,0.42649,1.109,0.98651,0.48433,0.48492,0.37638,0.62059,0.48351,1.54184,0.00185411,0.00185411,0.00185411
16,303.411,0.40699,0.39906,1.08904,0.99098,0.48433,0.485,0.40884,0.53263,0.34309,1.43544,0.00183315,0.00183315,0.00183315
17,322.414,0.37638,0.37765,1.04475,0.99429,0.48433,0.485,0.41984,0.51968,0.32745,1.39133,0.00181093,0.00181093,0.00181093
18,341.389,0.36453,0.35632,1.01883,0.98955,0.48433,0.48496,0.3845,0.60167,0.45461,1.58463,0.00178746,0.00178746,0.00178746
19,360.294,0.36203,0.35927,1.01818,0.9909,0.48433,0.485,0.43447,0.5164,0.28996,1.34484,0.0017628,0.0017628,0.0017628
20,379.235,0.36567,0.35702,1.01996,0.95625,0.48332,0.48227,0.40022,0.52176,0.33502,1.39833,0.00173698,0.00173698,0.00173698
21,398.217,0.36428,0.34758,1.01452,0.98333,0.48433,0.48496,0.39574,0.54758,0.31229,1.42287,0.00171004,0.00171004,0.00171004
22,417.049,0.35513,0.3372,1.01628,0.98897,0.48433,0.485,0.42474,0.48583,0.33508,1.45128,0.00168201,0.00168201,0.00168201
23,436.013,0.34125,0.33771,1.01167,0.96838,0.48433,0.4842,0.41751,0.50712,0.29621,1.40884,0.00165295,0.00165295,0.00165295
24,454.995,0.35186,0.34299,1.00832,0.97743,0.48433,0.48427,0.41969,0.53756,0.32918,1.51275,0.0016229,0.0016229,0.0016229
25,473.949,0.31386,0.32538,0.98659,0.97303,0.48433,0.48005,0.41901,0.48079,0.35302,1.4078,0.00159191,0.00159191,0.00159191
26,492.851,0.30207,0.30199,0.95358,0.9758,0.48332,0.48438,0.41805,0.50199,0.29364,1.39696,0.00156001,0.00156001,0.00156001
27,511.786,0.29923,0.29329,0.9442,0.97533,0.48433,0.48483,0.43012,0.49425,0.28483,1.4045,0.00152727,0.00152727,0.00152727
28,530.682,0.26925,0.27698,0.94789,0.98003,0.48433,0.48471,0.42358,0.51582,0.26589,1.39989,0.00149374,0.00149374,0.00149374
29,549.478,0.30306,0.29501,0.95501,0.98006,0.48433,0.48461,0.42392,0.54088,0.30451,1.48969,0.00145945,0.00145945,0.00145945
30,568.384,0.29805,0.28793,0.96288,0.98006,0.48433,0.48482,0.40747,0.49263,0.27953,1.41787,0.00142447,0.00142447,0.00142447
31,587.249,0.2659,0.28188,0.95409,0.97078,0.48433,0.48391,0.42455,0.55588,0.25565,1.48345,0.00138886,0.00138886,0.00138886
32,606.129,0.29407,0.30553,0.95362,0.98148,0.48218,0.48469,0.41997,0.46319,0.24422,1.32687,0.00135266,0.00135266,0.00135266
33,625.016,0.273,0.2758,0.92595,0.97926,0.48433,0.48353,0.42402,0.49497,0.26583,1.38806,0.00131593,0.00131593,0.00131593
34,643.877,0.26475,0.25574,0.92693,0.98114,0.48433,0.48498,0.42761,0.53741,0.2732,1.45775,0.00127873,0.00127873,0.00127873
35,662.769,0.27728,0.27325,0.91742,0.9832,0.48433,0.48498,0.42306,0.59245,0.30505,1.53924,0.00124111,0.00124111,0.00124111
36,681.685,0.23831,0.25486,0.90643,0.98008,0.48433,0.485,0.41501,0.48016,0.31143,1.47079,0.00120314,0.00120314,0.00120314
37,700.567,0.22456,0.24164,0.91174,0.97541,0.48433,0.4847,0.40619,0.52538,0.31676,1.51419,0.00116487,0.00116487,0.00116487
38,719.523,0.22506,0.24245,0.90473,0.98033,0.48433,0.48479,0.43397,0.49161,0.2939,1.41771,0.00112636,0.00112636,0.00112636
39,738.359,0.2497,0.23803,0.9072,0.9768,0.48231,0.48471,0.43201,0.45986,0.23274,1.35147,0.00108767,0.00108767,0.00108767
