epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
32,457.081,0.90571,0.70984,1.03973,0.94282,0.72037,0.7737,0.50979,1.62075,2.32521,1.43217,0.000798649,0.000798649,0.000798649
33,470.905,0.88638,0.68345,1.03391,0.92336,0.69417,0.75384,0.55351,1.36366,2.5687,1.31398,0.000755582,0.000755582,0.000755582
34,484.587,0.86486,0.68786,1.01787,0.95729,0.7616,0.80608,0.57248,1.38938,2.09092,1.33377,0.000712751,0.000712751,0.000712751
35,498.203,0.87424,0.66702,1.02401,0.88788,0.7304,0.79065,0.57491,1.29364,2.07088,1.257,0.000670274,0.000670274,0.000670274
36,511.764,0.86966,0.67662,1.01695,0.92028,0.7233,0.77658,0.52397,1.48416,2.28776,1.38049,0.000628267,0.000628267,0.000628267
37,525.241,0.86422,0.67755,1.01962,0.9367,0.71837,0.78413,0.4837,1.62193,2.23503,1.44415,0.000586845,0.000586845,0.000586845
38,538.7,0.84147,0.64828,1.00552,0.86417,0.74123,0.76823,0.4938,1.56715,2.31662,1.42255,0.000546122,0.000546122,0.000546122
39,552.259,0.83419,0.6331,1.00596,0.95064,0.75728,0.8157,0.56993,1.4024,2.15682,1.3423,0.00050621,0.00050621,0.00050621
40,565.906,0.81109,0.63847,1.00061,0.77131,0.69417,0.66585,0.44779,1.46522,2.65573,1.38682,0.000467218,0.000467218,0.000467218
41,579.462,0.81144,0.6277,0.99294,0.94858,0.72816,0.80734,0.57214,1.38634,2.07016,1.34908,0.000429253,0.000429253,0.000429253
42,592.943,0.78976,0.60638,0.9864,0.88548,0.75072,0.7934,0.50218,1.6136,1.9795,1.49867,0.000392418,0.000392418,0.000392418
43,606.545,0.80198,0.61652,0.98801,0.86884,0.73959,0.7938,0.5627,1.42854,2.24452,1.37488,0.000356815,0.000356815,0.000356815
44,620.26,0.80157,0.60114,0.97857,0.91566,0.76699,0.80499,0.5496,1.47245,2.27914,1.37571,0.000322542,0.000322542,0.000322542
45,634.004,0.79221,0.59201,0.97885,0.88956,0.74288,0.76195,0.52267,1.51489,2.5144,1.40993,0.000289692,0.000289692,0.000289692
46,647.681,0.79543,0.60301,0.98217,0.96039,0.74757,0.81807,0.55061,1.49158,2.28013,1.37713,0.000258355,0.000258355,0.000258355
47,661.251,0.78144,0.57822,0.98289,0.91357,0.77184,0.81164,0.53736,1.55648,2.25054,1.42582,0.000228618,0.000228618,0.000228618
48,674.761,0.77321,0.57314,0.976,0.94093,0.77324,0.82619,0.55679,1.46508,2.12286,1.39239,0.000200561,0.000200561,0.000200561
49,688.866,0.73149,0.55612,0.95626,0.90758,0.78155,0.79464,0.52706,1.50997,2.1737,1.41275,0.000174262,0.000174262,0.000174262
50,702.353,0.71997,0.55017,0.95396,0.89449,0.74757,0.77962,0.52723,1.48093,2.24772,1.40174,0.000149793,0.000149793,0.000149793
51,715.85,0.72133,0.54754,0.95916,0.93538,0.77184,0.80279,0.5517,1.40818,2.11116,1.35425,0.000127221,0.000127221,0.000127221
52,729.442,0.70831,0.54061,0.95271,0.91417,0.77553,0.79944,0.55574,1.37791,2.16091,1.33708,0.000106608,0.000106608,0.000106608
53,742.987,0.71201,0.54491,0.95244,0.92553,0.76214,0.80642,0.56009,1.38137,2.22557,1.34057,8.80093e-05,8.80093e-05,8.80093e-05
54,756.604,0.69623,0.53251,0.95093,0.92487,0.77689,0.81363,0.55664,1.44658,2.19947,1.37622,7.14771e-05,7.14771e-05,7.14771e-05
55,770.416,0.70115,0.52861,0.95311,0.93747,0.78155,0.82736,0.56409,1.43546,2.2306,1.3657,5.70564e-05,5.70564e-05,5.70564e-05
56,784.274,0.69844,0.52673,0.94765,0.95035,0.78641,0.83214,0.57147,1.42423,2.14521,1.37523,4.47868e-05,4.47868e-05,4.47868e-05
57,798.353,0.69039,0.52845,0.94757,0.94145,0.78059,0.82384,0.55068,1.48189,2.16934,1.40231,3.47018e-05,3.47018e-05,3.47018e-05
58,812.087,0.69435,0.52869,0.94924,0.92923,0.79126,0.82231,0.55066,1.47334,2.11162,1.40295,2.68292e-05,2.68292e-05,2.68292e-05
59,825.828,0.69002,0.52418,0.94307,0.95012,0.7767,0.82909,0.56188,1.4485,2.03955,1.38852,2.11903e-05,2.11903e-05,2.11903e-05
60,839.546,0.69049,0.52361,0.94685,0.93863,0.7767,0.82729,0.55815,1.46873,2.12979,1.3998,1.78009e-05,1.78009e-05,1.78009e-05
