epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.7056,3.88689,5.05566,3.45789,0,0,0,0,6.29541,12.7107,4.06314,0.000543844,0.000543844,0.000543844
2,32.5958,1.98995,2.47236,1.87941,0.00502,0.79612,0.38307,0.18362,2.0231,6.05225,1.83172,0.00109876,0.00109876,0.00109876
3,46.5913,1.64996,2.06383,1.59048,0.75974,0.05825,0.23357,0.1576,3.00904,7.40037,2.12514,0.00165069,0.00165069,0.00165069
4,71.65,1.47397,1.76528,1.42924,0.04193,0.42233,0.0366,0.0038,3.90039,20653.6,6.80462,0.00165684,0.00165684,0.00165684
5,85.6161,1.43658,1.60713,1.36704,0.4354,0.43204,0.37244,0.1389,2.23441,4.73326,1.86725,0.00164897,0.00164897,0.00164897
6,99.4526,1.32055,1.48462,1.30094,0.74252,0.54596,0.56677,0.35223,1.74386,4.14322,1.5103,0.00163888,0.00163888,0.00163888
7,113.191,1.3829,1.4349,1.32623,0.63309,0.45631,0.48887,0.31191,1.80316,4.87857,1.54447,0.00162661,0.00162661,0.00162661
8,126.858,1.29419,1.3702,1.26948,0.72591,0.57855,0.662,0.35575,1.81392,3.23269,1.52328,0.00161219,0.00161219,0.00161219
9,140.529,1.29803,1.28991,1.2603,0.84775,0.50971,0.67968,0.22171,2.39815,3.86409,1.86447,0.00159566,0.00159566,0.00159566
10,154.131,1.18818,1.2159,1.2073,0.76464,0.56311,0.64322,0.35251,1.91702,2.62153,1.6278,0.00157706,0.00157706,0.00157706
11,167.73,1.2513,1.21022,1.24197,0.78731,0.46722,0.60161,0.37631,1.54123,2.99873,1.39416,0.00155645,0.00155645,0.00155645
12,181.415,1.17005,1.13804,1.19661,0.89786,0.52427,0.62773,0.44002,1.40029,2.76169,1.37906,0.00153388,0.00153388,0.00153388
13,195.247,1.11451,1.09523,1.15969,0.80989,0.49515,0.57158,0.3261,1.87635,2.81313,1.59672,0.00150941,0.00150941,0.00150941
14,210.064,1.13458,1.04459,1.16319,0.62384,0.62136,0.56305,0.10122,3.33126,11.8078,2.67127,0.00148311,0.00148311,0.00148311
15,223.899,1.14153,1.01177,1.16965,0.77924,0.52913,0.59187,0.43953,1.42945,3.46233,1.3501,0.00145505,0.00145505,0.00145505
16,237.762,1.06322,0.99681,1.136,0.88667,0.64563,0.74464,0.34789,2.19883,2.47903,1.71182,0.00142531,0.00142531,0.00142531
17,251.43,1.06221,0.94518,1.13372,0.93577,0.70724,0.78724,0.34996,2.19436,1.88994,1.75206,0.00139398,0.00139398,0.00139398
18,265.159,1.04223,0.93121,1.11613,0.93438,0.65534,0.74974,0.44376,1.81103,2.49043,1.49267,0.00136113,0.00136113,0.00136113
19,278.859,1.0827,0.95934,1.12738,0.90763,0.7155,0.7782,0.51978,1.51611,2.28644,1.33764,0.00132685,0.00132685,0.00132685
20,292.421,1.03401,0.9076,1.10982,0.87336,0.68932,0.74541,0.47342,1.63711,2.24541,1.42609,0.00129125,0.00129125,0.00129125
21,305.932,1.03053,0.87823,1.11176,0.91834,0.65512,0.72992,0.47034,1.69801,2.66835,1.4724,0.00125442,0.00125442,0.00125442
22,319.546,1.05923,0.88168,1.12044,0.89497,0.70323,0.78124,0.49493,1.62098,1.89314,1.41726,0.00121645,0.00121645,0.00121645
23,333.305,1.05629,0.8676,1.11226,0.95536,0.76699,0.82682,0.50574,1.67359,2.12508,1.42071,0.00117746,0.00117746,0.00117746
24,347.11,0.9689,0.81352,1.07151,0.90799,0.75243,0.81555,0.5362,1.40132,2.01294,1.29973,0.00113755,0.00113755,0.00113755
25,361.172,0.96045,0.80321,1.07153,0.85017,0.75243,0.81797,0.56122,1.28325,1.75154,1.26403,0.00109683,0.00109683,0.00109683
26,375.007,1.06079,0.78853,1.1072,0.83969,0.6611,0.72569,0.27435,2.45823,2.34457,1.95724,0.0010554,0.0010554,0.0010554
27,388.759,1.08707,0.79594,1.12673,0.93558,0.78641,0.85825,0.53228,1.67692,1.78584,1.46496,0.0010134,0.0010134,0.0010134
28,402.298,0.9281,0.75158,1.05535,0.91723,0.68447,0.78117,0.56161,1.36592,2.32596,1.30965,0.000970919,0.000970919,0.000970919
29,415.829,0.95279,0.73865,1.05645,0.86319,0.6699,0.72698,0.47728,1.64251,2.25953,1.46267,0.000928088,0.000928088,0.000928088
30,429.493,0.929,0.76018,1.04989,0.82822,0.67873,0.70357,0.43113,1.68227,2.59944,1.44436,0.000885021,0.000885021,0.000885021
31,443.196,0.93306,0.73822,1.05252,0.87829,0.70058,0.74999,0.50388,1.45023,2.34439,1.34129,0.000841835,0.000841835,0.000841835
