epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
32,610.847,0.2565,0.28439,0.94101,0.99091,0.49091,0.49496,0.41955,0.47352,0.29259,1.63939,0.00135266,0.00135266,0.00135266
33,629.672,0.24208,0.26839,0.92819,0.98175,0.49091,0.49492,0.43117,0.49591,0.29358,1.633,0.00131593,0.00131593,0.00131593
34,648.502,0.21926,0.24843,0.90409,0.99632,0.49091,0.49498,0.43646,0.4683,0.22435,1.56264,0.00127873,0.00127873,0.00127873
35,667.349,0.22798,0.25127,0.89477,0.98973,0.48694,0.49474,0.43401,0.46457,0.2244,1.53482,0.00124111,0.00124111,0.00124111
36,686.174,0.22346,0.26371,0.90848,0.98707,0.49091,0.49488,0.41628,0.46293,0.22669,1.6901,0.00120314,0.00120314,0.00120314
37,705.002,0.23007,0.25133,0.91729,0.99368,0.49091,0.49494,0.43501,0.48242,0.22553,1.53221,0.00116487,0.00116487,0.00116487
38,723.829,0.20752,0.22582,0.90631,0.98887,0.49091,0.4949,0.4315,0.44861,0.21667,1.54478,0.00112636,0.00112636,0.00112636
39,742.664,0.20917,0.23422,0.89974,0.98669,0.49091,0.49488,0.43627,0.4722,0.23351,1.59206,0.00108767,0.00108767,0.00108767
40,761.462,0.21063,0.2321,0.8971,0.99138,0.49091,0.49496,0.43583,0.47533,0.22897,1.54939,0.00104887,0.00104887,0.00104887
41,780.323,0.21072,0.2347,0.89536,0.98571,0.49091,0.49488,0.43453,0.49015,0.25706,1.61452,0.00101,0.00101,0.00101
42,799.189,0.20344,0.23623,0.8935,0.99182,0.48988,0.49484,0.43688,0.43945,0.20233,1.52758,0.000971133,0.000971133,0.000971133
43,818.035,0.19505,0.23603,0.88618,0.9913,0.48788,0.4947,0.43411,0.44551,0.20657,1.53416,0.000932325,0.000932325,0.000932325
44,836.917,0.19396,0.23009,0.88737,0.9913,0.49091,0.49494,0.42668,0.46974,0.21849,1.68106,0.000893638,0.000893638,0.000893638
45,855.788,0.18862,0.21775,0.88262,0.99066,0.48889,0.49478,0.43733,0.45744,0.20036,1.55935,0.00085513,0.00085513,0.00085513
46,874.597,0.18319,0.21257,0.89461,0.99134,0.48889,0.4948,0.43628,0.46132,0.21035,1.53905,0.000816861,0.000816861,0.000816861
