epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.9227,2.29774,5.01433,3.80606,0,0,0,0,3.23624,5.98672,4.27098,0.000654762,0.000654762,0.000654762
2,42.658,1.42136,2.65859,2.59233,0.93047,0.48586,0.46815,0.35479,0.94089,2.89934,2.2917,0.00132092,0.00132092,0.00132092
3,62.2635,1.17809,1.99297,2.18399,0.94716,0.4899,0.47923,0.37485,0.74987,1.71236,1.72848,0.00198506,0.00198506,0.00198506
4,81.6089,0.97229,1.49988,1.87475,0.96855,0.49091,0.49422,0.36877,0.90801,1.95576,1.83384,0.00199314,0.00199314,0.00199314
5,100.635,0.77553,1.17327,1.60482,0.89123,0.4883,0.48906,0.38095,0.91067,1.58971,1.95415,0.00198781,0.00198781,0.00198781
6,119.646,0.7285,1.01793,1.52927,0.94924,0.49117,0.49345,0.39068,0.75606,1.13608,1.80124,0.00198098,0.00198098,0.00198098
7,138.636,0.65282,0.79786,1.42147,0.96554,0.48889,0.49382,0.43429,0.51478,0.7993,1.40587,0.00197265,0.00197265,0.00197265
8,157.603,0.58054,0.68492,1.30743,0.98248,0.48889,0.48966,0.3854,0.73307,0.86246,1.80448,0.00196283,0.00196283,0.00196283
9,176.428,0.60922,0.63076,1.34239,0.97017,0.48788,0.49452,0.39756,0.74806,0.83091,1.83792,0.00195155,0.00195155,0.00195155
10,195.191,0.51439,0.54587,1.23223,0.96556,0.4899,0.49449,0.42374,0.58888,0.56212,1.6023,0.00193881,0.00193881,0.00193881
11,214.095,0.49344,0.53835,1.22021,0.97715,0.48788,0.49438,0.42154,0.61324,0.48351,1.73557,0.00192464,0.00192464,0.00192464
12,233.019,0.44016,0.48644,1.14549,0.98674,0.48889,0.49462,0.41726,0.46793,0.36228,1.4648,0.00190906,0.00190906,0.00190906
13,252.158,0.44386,0.46719,1.14719,0.97778,0.48884,0.4946,0.43338,0.52045,0.34917,1.52505,0.0018921,0.0018921,0.0018921
14,271.364,0.42572,0.44369,1.14816,0.98779,0.49034,0.49486,0.43148,0.52642,0.38616,1.51568,0.00187377,0.00187377,0.00187377
15,290.335,0.3922,0.41095,1.07783,0.98577,0.48983,0.49477,0.42396,0.57202,0.36563,1.63755,0.00185411,0.00185411,0.00185411
16,309.249,0.39664,0.40197,1.07051,0.97113,0.49091,0.49457,0.39332,0.5763,0.37053,1.82173,0.00183315,0.00183315,0.00183315
17,328.161,0.38038,0.38164,1.07416,0.98051,0.49091,0.49484,0.40846,0.55791,0.345,1.68697,0.00181093,0.00181093,0.00181093
18,347.044,0.3714,0.37726,1.05747,0.97006,0.4899,0.49443,0.43859,0.4738,0.33717,1.30163,0.00178746,0.00178746,0.00178746
19,365.94,0.35152,0.36071,1.01849,0.97911,0.49091,0.49486,0.41341,0.47925,0.30422,1.57657,0.0017628,0.0017628,0.0017628
20,384.776,0.33132,0.35089,1.00821,0.97381,0.48889,0.49438,0.42576,0.52762,0.47972,1.57801,0.00173698,0.00173698,0.00173698
21,403.639,0.33786,0.35513,1.01482,0.99636,0.4899,0.49492,0.43913,0.49528,0.25367,1.44012,0.00171004,0.00171004,0.00171004
22,422.536,0.30926,0.32581,0.98611,0.98582,0.49091,0.4949,0.43234,0.47664,0.30754,1.5898,0.00168201,0.00168201,0.00168201
23,441.372,0.32112,0.32452,1.0004,0.98756,0.49091,0.49494,0.41805,0.49575,0.29201,1.655,0.00165295,0.00165295,0.00165295
24,460.214,0.31318,0.30768,0.98744,0.9837,0.49091,0.49492,0.43429,0.50038,0.31333,1.63337,0.0016229,0.0016229,0.0016229
25,479.093,0.30614,0.31104,0.96871,0.98089,0.49091,0.49486,0.41625,0.50909,0.33306,1.73869,0.00159191,0.00159191,0.00159191
26,497.936,0.28915,0.31659,0.95848,0.98877,0.4899,0.49478,0.43429,0.49563,0.27664,1.50936,0.00156001,0.00156001,0.00156001
27,516.788,0.29275,0.3262,0.95877,0.98147,0.49091,0.4949,0.43223,0.49088,0.30803,1.68124,0.00152727,0.00152727,0.00152727
28,535.524,0.25711,0.28039,0.93853,0.98321,0.49091,0.49452,0.43733,0.43573,0.22425,1.47666,0.00149374,0.00149374,0.00149374
29,554.36,0.25713,0.29259,0.93416,0.97386,0.48925,0.49449,0.43267,0.50963,0.26752,1.5728,0.00145945,0.00145945,0.00145945
30,573.182,0.24589,0.27257,0.93092,0.98576,0.48939,0.49464,0.42671,0.47646,0.2523,1.68017,0.00142447,0.00142447,0.00142447
31,592.034,0.25308,0.27635,0.92396,0.98726,0.49091,0.49496,0.43104,0.51241,0.30238,1.65781,0.00138886,0.00138886,0.00138886
